Organization Name,Category,Description,GSoC Page,Interested,Notes
Project Mesa,,Mesa: Agent-based modeling in Python 3+,https://summerofcode.withgoogle.com/programs/2025/organizations/project-mesa,No,
Plone Foundation,,"Python-based CMS, with React front-end.",https://summerofcode.withgoogle.com/programs/2025/organizations/plone-foundation,No,
Processing Foundation,,To empower all people to learn to program,https://summerofcode.withgoogle.com/programs/2025/organizations/processing-foundation,No,
Software and Computational Systems Lab at LMU Munich,,Algorithms and Tooling for Software Verification,https://summerofcode.withgoogle.com/programs/2025/organizations/software-and-computational-systems-lab-at-lmu-munich,No,
SageMath,,Open-source mathematics software system,https://summerofcode.withgoogle.com/programs/2025/organizations/sagemath,No,
Society for Arts and Technology (SAT),,Technological tools for creativity and industry,https://summerofcode.withgoogle.com/programs/2025/organizations/society-for-arts-and-technology-sat,No,
ScummVM,,Adventure and RPG preservation project,https://summerofcode.withgoogle.com/programs/2025/organizations/scummvm,No,
Scala Center,,Guide and support the Scala community,https://summerofcode.withgoogle.com/programs/2025/organizations/scala-center,No,
RTEMS Project,,A real-time operating system for Earth & Space,https://summerofcode.withgoogle.com/programs/2025/organizations/rtems-project,No,
Rspamd,,Rspamd is an email framework and spam filter,https://summerofcode.withgoogle.com/programs/2025/organizations/rspamd,No,
R project for statistical computing,,R software for statistical computing & graphics,https://summerofcode.withgoogle.com/programs/2025/organizations/r-project-for-statistical-computing,No,
http://rocket.chat,,Open source communications platform for the AI age,https://summerofcode.withgoogle.com/programs/2025/organizations/rocketchat,No,
Rizin,,Rizin reverse engineering framework and toolset,https://summerofcode.withgoogle.com/programs/2025/organizations/rizin,No,
SQLancer,,Automatically testing database systems,https://summerofcode.withgoogle.com/programs/2025/organizations/sqlancer,No,
SW360,,Software supply chain management done right !,https://summerofcode.withgoogle.com/programs/2025/organizations/sw360,No,
Swift,,"Fast, safe, and expressive programming language",https://summerofcode.withgoogle.com/programs/2025/organizations/swift,No,
SymPy,,SymPy is a Python library for symbolic mathematics,https://summerofcode.withgoogle.com/programs/2025/organizations/sympy,No,
Ste||ar group,,Shaping a Scalable Future,https://summerofcode.withgoogle.com/programs/2025/organizations/stear-group,No,
Stichting SU2,,Computational Fluid Dynamics and Optimization,https://summerofcode.withgoogle.com/programs/2025/organizations/stichting-su2,No,
stdlib,,The fundamental numerical library for JavaScript,https://summerofcode.withgoogle.com/programs/2025/organizations/stdlib,No,
Sugar Labs,,Learning software for children,https://summerofcode.withgoogle.com/programs/2025/organizations/sugar-labs,No,
St. Jude Children's Research Hospital,,Find cures. Saving children.,https://summerofcode.withgoogle.com/programs/2025/organizations/st-jude-childrens-research-hospital-ai,No,
Synfig,,Open-source 2D animation software,https://summerofcode.withgoogle.com/programs/2025/organizations/synfig,No,
The NetBSD Foundation,,Of course it runs NetBSD,https://summerofcode.withgoogle.com/programs/2025/organizations/the-netbsd-foundation,No,
The Honeynet Project,,Honeypots and Threat Intelligence R&D,https://summerofcode.withgoogle.com/programs/2025/organizations/the-honeynet-project,No,
